seconds,travel,recoveries,x,y,z,safeStation,speed
6.22,-1.08,0,560.93,27.50,-287.76,3738.24,-0.52
6.23,-1.09,0,560.93,27.50,-287.77,3738.24,-0.52
6.27,-1.11,0,560.93,27.49,-287.79,3738.24,-0.52
6.29,-1.12,0,560.93,27.49,-287.80,3738.24,-0.52
6.31,-1.13,0,560.93,27.49,-287.81,3738.24,-0.52
6.33,-1.14,0,560.93,27.49,-287.82,3738.24,-0.52
6.34,-1.15,0,560.93,27.49,-287.83,3738.24,-0.52
6.36,-1.16,0,560.93,27.49,-287.84,3738.24,-0.52
6.38,-1.16,0,560.93,27.49,-287.84,3738.24,-0.52
6.40,-1.17,0,560.93,27.49,-287.85,3738.24,-0.52
6.41,-1.18,0,560.93,27.49,-287.86,3738.24,-0.52
6.43,-1.19,0,560.93,27.49,-287.87,3738.11,-0.52
6.45,-1.20,0,560.93,27.49,-287.88,3738.11,-0.52
6.47,-1.21,0,560.93,27.49,-287.89,3738.11,-0.52
6.48,-1.22,0,560.93,27.49,-287.90,3738.11,-0.52
6.50,-1.22,0,560.93,27.49,-287.90,3738.11,-0.52
6.52,-1.23,0,560.93,27.48,-287.91,3738.11,-0.52
6.59,-1.27,0,560.93,27.48,-287.95,3738.11,-0.52
6.61,-1.28,0,560.93,27.48,-287.96,3738.11,-0.52
6.63,-1.29,0,560.93,27.48,-287.97,3738.11,-0.52
6.64,-1.30,0,560.92,27.48,-287.99,3738.11,-0.52
6.66,-1.30,0,560.92,27.48,-287.99,3738.11,-0.52
6.68,-1.32,0,560.92,27.48,-288.00,3738.11,-0.52
6.69,-1.33,0,560.92,27.48,-288.01,3737.97,-0.52
6.71,-1.34,0,560.92,27.48,-288.02,3737.97,-0.52
6.73,-1.35,0,560.92,27.47,-288.03,3737.97,-0.52
6.74,-1.36,0,560.92,27.47,-288.04,3737.97,-0.52
6.76,-1.36,0,560.92,27.47,-288.04,3737.97,-0.52
6.78,-1.37,0,560.92,27.47,-288.05,3737.97,-0.52
6.79,-1.38,0,560.92,27.47,-288.06,3737.97,-0.52
6.81,-1.39,0,560.92,27.47,-288.07,3737.97,-0.52
6.85,-1.41,0,560.92,27.47,-288.09,3737.97,-0.52
6.86,-1.42,0,560.92,27.47,-288.10,3737.97,-0.52
6.88,-1.42,0,560.92,27.47,-288.10,3737.97,-0.52
6.90,-1.43,0,560.92,27.47,-288.11,3737.97,-0.52
6.91,-1.44,0,560.92,27.47,-288.12,3737.97,-0.52
6.93,-1.45,0,560.92,27.47,-288.13,3737.97,-0.52
6.95,-1.46,0,560.92,27.46,-288.14,3737.84,-0.52
6.96,-1.47,0,560.92,27.46,-288.15,3737.84,-0.52
6.98,-1.47,0,560.92,27.46,-288.15,3737.84,-0.52
7.00,-1.48,0,560.92,27.46,-288.16,3737.84,-0.52
7.04,-1.50,0,560.91,27.46,-288.18,3737.84,-0.52
7.06,-1.52,0,560.91,27.46,-288.20,3737.84,-0.52
7.08,-1.52,0,560.91,27.46,-288.20,3737.84,-0.52
7.10,-1.53,0,560.91,27.46,-288.21,3737.84,-0.52
7.11,-1.54,0,560.91,27.46,-288.22,3737.84,-0.52
7.13,-1.55,0,560.91,27.46,-288.23,3737.84,-0.52
7.15,-1.56,0,560.91,27.46,-288.24,3737.84,-0.52
7.17,-1.57,0,560.91,27.45,-288.25,3737.84,-0.52
7.18,-1.58,0,560.91,27.45,-288.26,3737.84,-0.52
7.20,-1.58,0,560.91,27.45,-288.26,3737.84,-0.52
7.22,-1.59,0,560.91,27.45,-288.27,3737.71,-0.52
7.23,-1.60,0,560.91,27.45,-288.28,3737.71,-0.52
7.25,-1.61,0,560.91,27.45,-288.29,3737.71,-0.52
7.31,-1.64,0,560.91,27.45,-288.32,3737.71,-0.52
7.32,-1.66,0,560.91,27.45,-288.33,3737.71,-0.52
7.34,-1.66,0,560.91,27.45,-288.33,3737.71,-0.52
7.36,-1.67,0,560.90,27.45,-288.34,3737.71,-0.52
7.37,-1.68,0,560.90,27.45,-288.35,3737.71,-0.52
7.39,-1.69,0,560.90,27.45,-288.36,3737.71,-0.52
7.41,-1.70,0,560.90,27.44,-288.37,3737.71,-0.51
