elapsed,themeTime,voicePlaying,themeVolume,master,radioObjects
38.256,2.667,False,0.270,0,0
38.358,2.752,False,0.270,0,0
38.465,2.859,False,0.270,0,0
38.576,2.987,False,0.270,0,0
38.682,3.072,False,0.270,0,0
38.785,3.179,False,0.270,0,0
38.891,3.307,False,0.270,0,0
39.008,3.413,False,0.270,0,0
39.125,3.520,False,0.270,0,0
39.242,3.648,False,0.270,0,0
39.358,3.755,False,0.270,0,0
39.459,3.840,False,0.270,0,0
39.575,3.968,False,0.270,0,0
39.692,4.096,False,0.270,0,0
39.792,4.181,False,0.270,0,0
39.899,4.309,False,0.270,0,0
40.005,4.416,False,0.270,0,0
40.109,4.501,False,0.270,0,0
40.225,4.629,False,0.270,0,0
40.326,4.736,False,0.270,0,0
40.446,4.843,False,0.270,0,0
40.548,4.949,False,0.270,0,0
40.664,5.077,False,0.270,0,0
40.765,5.163,False,0.270,0,0
40.865,5.269,False,0.270,0,0
40.982,5.376,False,0.270,0,0
41.098,5.504,False,0.270,0,0
41.199,5.589,False,0.270,0,0
41.315,5.717,False,0.270,0,0
41.417,5.824,False,0.270,0,0
41.534,5.931,False,0.270,0,0
41.634,6.037,False,0.270,0,0
41.735,6.123,False,0.270,0,0
41.842,6.251,False,0.270,0,0
41.959,6.357,False,0.270,0,0
42.075,6.464,False,0.270,0,0
42.192,6.592,False,0.270,0,0
42.308,6.720,False,0.270,0,0
42.425,6.827,False,0.270,0,0
42.542,6.955,False,0.270,0,0
42.645,7.040,False,0.270,0,0
42.761,7.168,False,0.270,0,0
42.878,7.275,False,0.270,0,0
42.979,7.381,False,0.270,0,0
43.095,7.509,False,0.270,0,0
43.197,7.595,False,0.270,0,0
43.301,7.701,False,0.270,0,0
43.425,7.829,False,0.270,0,0
43.548,7.957,False,0.270,0,0
43.652,8.064,False,0.270,0,0
43.768,8.171,False,0.270,0,0
43.869,8.277,False,0.270,0,0
43.969,8.363,False,0.270,0,0
44.086,8.491,False,0.270,0,0
44.187,8.597,False,0.270,0,0
44.287,8.683,False,0.270,0,0
44.388,8.789,False,0.270,0,0
44.504,8.917,False,0.270,0,0
44.605,9.003,False,0.270,0,0
44.722,9.131,False,0.270,0,0
44.822,9.237,False,0.270,0,0
44.939,9.344,False,0.270,0,0
45.056,9.472,False,0.270,0,0
45.172,9.557,False,0.270,0,0
45.289,9.685,False,0.270,0,0
