t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.109,829.592,100.644,-120.911,15.458,13.378,0.977,7.684,0.000,0.000,-0.090,2,9.590,3.871,0.998,"Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.182, 0.976, -0.119);"
0.040,148.394,829.849,100.666,-120.764,15.479,13.404,1.056,7.698,0.271,0.000,-0.092,4,10.523,10.410,0.994,"Ground_Mountain_0_1:(-0.172, 0.979, -0.105);Ground_Mountain_0_1:(-0.172, 0.979, -0.105);Ground_Mountain_0_1:(-0.172, 0.979, -0.105);Ground_Mountain_0_1:(-0.172, 0.979, -0.105);Ground_Mountain_0_1:(-0.172, 0.979, -0.105);Ground_Mountain_0_1:(-0.172, 0.979, -0.105);"
2.220,182.314,854.735,107.623,-98.841,15.650,11.533,3.180,10.093,0.175,0.000,0.054,4,9.572,0.009,0.979,"Ground_Mountain_0_1:(-0.155, 0.979, -0.130);Ground_Mountain_0_1:(-0.155, 0.979, -0.130);Ground_Mountain_0_1:(-0.155, 0.979, -0.130);Ground_Mountain_0_1:(-0.155, 0.979, -0.130);Ground_Mountain_0_1:(-0.155, 0.979, -0.130);Ground_Mountain_0_1:(-0.155, 0.979, -0.130);"
2.240,182.627,854.966,107.686,-98.640,15.649,11.573,3.179,10.047,0.175,0.000,0.054,4,9.556,0.024,0.979,"Ground_Mountain_0_1:(-0.155, 0.980, -0.128);Ground_Mountain_0_1:(-0.155, 0.980, -0.128);Ground_Mountain_0_1:(-0.155, 0.980, -0.128);Ground_Mountain_0_1:(-0.155, 0.980, -0.128);Ground_Mountain_0_1:(-0.155, 0.980, -0.128);Ground_Mountain_0_1:(-0.155, 0.980, -0.128);"
2.260,182.940,855.198,107.750,-98.440,15.649,11.613,3.179,10.000,0.175,0.000,0.055,4,9.551,0.026,0.979,"Ground_Mountain_0_1:(-0.157, 0.979, -0.128);Ground_Mountain_0_1:(-0.157, 0.979, -0.128);Ground_Mountain_0_1:(-0.157, 0.979, -0.128);Ground_Mountain_0_1:(-0.157, 0.979, -0.128);Ground_Mountain_0_1:(-0.157, 0.979, -0.128);Ground_Mountain_0_1:(-0.157, 0.979, -0.128);"
2.280,183.254,855.431,107.813,-98.241,15.649,11.654,3.177,9.953,0.175,0.000,0.055,4,9.530,0.053,0.979,"Ground_Mountain_0_1:(-0.159, 0.979, -0.126);Ground_Mountain_0_1:(-0.159, 0.979, -0.126);Ground_Mountain_0_1:(-0.159, 0.979, -0.126);Ground_Mountain_0_1:(-0.159, 0.979, -0.126);Ground_Mountain_0_1:(-0.159, 0.979, -0.126);Ground_Mountain_0_1:(-0.159, 0.979, -0.126);"
2.300,183.567,855.665,107.877,-98.043,15.649,11.695,3.176,9.906,0.175,0.000,0.055,4,9.515,0.070,0.979,"Ground_Mountain_0_1:(-0.161, 0.979, -0.126);Ground_Mountain_0_1:(-0.161, 0.979, -0.126);Ground_Mountain_0_1:(-0.161, 0.979, -0.126);Ground_Mountain_0_1:(-0.161, 0.979, -0.126);Ground_Mountain_0_1:(-0.161, 0.979, -0.126);Ground_Mountain_0_1:(-0.161, 0.979, -0.126);"
2.320,183.880,855.900,107.940,-97.846,15.649,11.736,3.175,9.857,0.176,0.000,0.055,4,9.532,0.052,0.979,"Ground_Mountain_0_1:(-0.161, 0.979, -0.126);Ground_Mountain_0_1:(-0.161, 0.979, -0.126);Ground_Mountain_0_1:(-0.161, 0.979, -0.126);Ground_Mountain_0_1:(-0.161, 0.979, -0.126);Ground_Mountain_0_1:(-0.161, 0.979, -0.126);Ground_Mountain_0_1:(-0.161, 0.979, -0.126);"
2.340,184.193,856.135,108.004,-97.649,15.649,11.777,3.174,9.808,0.176,0.000,0.056,4,9.548,0.038,0.979,"Ground_Mountain_0_1:(-0.161, 0.979, -0.126);Ground_Mountain_0_1:(-0.161, 0.979, -0.126);Ground_Mountain_0_1:(-0.161, 0.979, -0.126);Ground_Mountain_0_1:(-0.161, 0.979, -0.126);Ground_Mountain_0_1:(-0.161, 0.979, -0.126);Ground_Mountain_0_1:(-0.161, 0.979, -0.126);"
2.360,184.506,856.371,108.067,-97.454,15.649,11.818,3.174,9.758,0.176,0.000,0.056,4,9.561,0.037,0.979,"Ground_Mountain_0_1:(-0.161, 0.979, -0.124);Ground_Mountain_0_1:(-0.161, 0.979, -0.124);Ground_Mountain_0_1:(-0.161, 0.979, -0.124);Ground_Mountain_0_1:(-0.161, 0.979, -0.124);Ground_Mountain_0_1:(-0.161, 0.979, -0.124);Ground_Mountain_0_1:(-0.161, 0.979, -0.124);"
2.380,184.819,856.608,108.131,-97.260,15.649,11.859,3.173,9.708,0.176,0.000,0.056,4,9.551,0.021,0.979,"Ground_Mountain_0_1:(-0.161, 0.979, -0.123);Ground_Mountain_0_1:(-0.161, 0.979, -0.123);Ground_Mountain_0_1:(-0.161, 0.979, -0.123);Ground_Mountain_0_1:(-0.161, 0.979, -0.123);Ground_Mountain_0_1:(-0.161, 0.979, -0.123);Ground_Mountain_0_1:(-0.161, 0.979, -0.123);"
2.400,185.132,856.846,108.194,-97.066,15.648,11.901,3.172,9.658,0.176,0.000,0.056,4,9.526,0.053,0.979,"Ground_Mountain_0_1:(-0.162, 0.979, -0.123);Ground_Mountain_0_1:(-0.162, 0.979, -0.123);Ground_Mountain_0_1:(-0.162, 0.979, -0.123);Ground_Mountain_0_1:(-0.162, 0.979, -0.123);Ground_Mountain_0_1:(-0.162, 0.979, -0.123);Ground_Mountain_0_1:(-0.162, 0.979, -0.123);"
2.420,185.445,857.085,108.258,-96.874,15.648,11.942,3.171,9.606,0.176,0.000,0.057,4,9.535,0.057,0.979,"Ground_Mountain_0_1:(-0.160, 0.980, -0.122);Ground_Mountain_0_1:(-0.160, 0.980, -0.122);Ground_Mountain_0_1:(-0.160, 0.980, -0.122);Ground_Mountain_0_1:(-0.160, 0.980, -0.122);Ground_Mountain_0_1:(-0.160, 0.980, -0.122);Ground_Mountain_0_1:(-0.160, 0.980, -0.122);"
2.440,185.757,857.325,108.321,-96.683,15.648,11.984,3.170,9.555,0.176,0.000,0.057,4,9.551,0.037,0.979,"Ground_Mountain_0_1:(-0.164, 0.979, -0.122);Ground_Mountain_0_1:(-0.164, 0.979, -0.122);Ground_Mountain_0_1:(-0.164, 0.979, -0.122);Ground_Mountain_0_1:(-0.164, 0.979, -0.122);Ground_Mountain_0_1:(-0.164, 0.979, -0.122);Ground_Mountain_0_1:(-0.164, 0.979, -0.122);"
2.460,186.070,857.565,108.384,-96.493,15.648,12.025,3.170,9.502,0.176,0.000,0.057,4,9.585,0.056,0.979,"Ground_Mountain_0_1:(-0.166, 0.979, -0.121);Ground_Mountain_0_1:(-0.166, 0.979, -0.121);Ground_Mountain_0_1:(-0.166, 0.979, -0.121);Ground_Mountain_0_1:(-0.166, 0.979, -0.121);Ground_Mountain_0_1:(-0.166, 0.979, -0.121);Ground_Mountain_0_1:(-0.166, 0.979, -0.121);"
2.480,186.383,857.806,108.448,-96.304,15.648,12.067,3.172,9.449,0.176,0.000,0.057,4,9.644,0.068,0.979,"Ground_Mountain_0_1:(-0.167, 0.978, -0.121);Ground_Mountain_0_1:(-0.167, 0.978, -0.121);Ground_Mountain_0_1:(-0.167, 0.978, -0.121);Ground_Mountain_0_1:(-0.167, 0.978, -0.121);Ground_Mountain_0_1:(-0.167, 0.978, -0.121);Ground_Mountain_0_1:(-0.167, 0.978, -0.121);"
2.500,186.696,858.048,108.511,-96.115,15.648,12.108,3.174,9.396,0.176,0.000,0.057,4,9.693,0.046,0.979,"Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);"
2.520,187.009,858.291,108.575,-95.928,15.648,12.148,3.177,9.342,0.176,0.000,0.057,4,9.734,0.023,0.979,"Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);"
2.540,187.324,858.534,108.638,-95.743,15.648,12.189,3.180,9.287,0.176,0.000,0.057,4,9.772,0.005,0.979,"Ground_Mountain_0_1:(-0.168, 0.978, -0.121);Ground_Mountain_0_1:(-0.168, 0.978, -0.121);Ground_Mountain_0_1:(-0.168, 0.978, -0.121);Ground_Mountain_0_1:(-0.168, 0.978, -0.121);Ground_Mountain_0_1:(-0.168, 0.978, -0.121);Ground_Mountain_0_1:(-0.168, 0.978, -0.121);"
2.560,187.637,858.779,108.702,-95.558,15.648,12.230,3.185,9.232,0.176,0.000,0.058,4,9.817,0.042,0.979,"Ground_Mountain_0_1:(-0.168, 0.978, -0.121);Ground_Mountain_0_1:(-0.168, 0.978, -0.121);Ground_Mountain_0_1:(-0.168, 0.978, -0.121);Ground_Mountain_0_1:(-0.168, 0.978, -0.121);Ground_Mountain_0_1:(-0.168, 0.978, -0.121);Ground_Mountain_0_1:(-0.168, 0.978, -0.121);"
2.580,187.950,859.024,108.766,-95.374,15.647,12.270,3.192,9.176,0.176,0.000,0.058,4,9.913,0.040,0.979,"Ground_Mountain_0_1:(-0.169, 0.978, -0.121);Ground_Mountain_0_1:(-0.169, 0.978, -0.121);Ground_Mountain_0_1:(-0.169, 0.978, -0.121);Ground_Mountain_0_1:(-0.169, 0.978, -0.121);Ground_Mountain_0_1:(-0.169, 0.978, -0.121);Ground_Mountain_0_1:(-0.169, 0.978, -0.121);"
2.600,188.262,859.270,108.830,-95.192,15.647,12.309,3.200,9.120,0.176,0.000,0.058,4,10.006,0.008,0.979,"Ground_Mountain_0_1:(-0.173, 0.977, -0.121);Ground_Mountain_0_1:(-0.173, 0.977, -0.121);Ground_Mountain_0_1:(-0.173, 0.977, -0.121);Ground_Mountain_0_1:(-0.173, 0.977, -0.121);Ground_Mountain_0_1:(-0.173, 0.977, -0.121);Ground_Mountain_0_1:(-0.173, 0.977, -0.121);"
2.620,188.575,859.517,108.894,-95.010,15.647,12.348,3.210,9.063,0.176,0.000,0.058,4,10.098,0.039,0.979,"Ground_Mountain_0_1:(-0.175, 0.977, -0.121);Ground_Mountain_0_1:(-0.175, 0.977, -0.121);Ground_Mountain_0_1:(-0.175, 0.977, -0.121);Ground_Mountain_0_1:(-0.175, 0.977, -0.121);Ground_Mountain_0_1:(-0.175, 0.977, -0.121);Ground_Mountain_0_1:(-0.175, 0.977, -0.121);"
2.640,188.888,859.764,108.959,-94.830,15.647,12.386,3.224,9.005,0.177,0.000,0.058,4,10.236,0.066,0.979,"Ground_Mountain_0_1:(-0.179, 0.976, -0.122);Ground_Mountain_0_1:(-0.179, 0.976, -0.122);Ground_Mountain_0_1:(-0.179, 0.976, -0.122);Ground_Mountain_0_1:(-0.179, 0.976, -0.122);Ground_Mountain_0_1:(-0.179, 0.976, -0.122);Ground_Mountain_0_1:(-0.179, 0.976, -0.122);"
2.660,189.201,860.012,109.023,-94.651,15.646,12.424,3.240,8.947,0.177,0.000,0.058,4,10.389,0.068,0.979,"Ground_Mountain_0_1:(-0.181, 0.976, -0.123);Ground_Mountain_0_1:(-0.181, 0.976, -0.123);Ground_Mountain_0_1:(-0.181, 0.976, -0.123);Ground_Mountain_0_1:(-0.181, 0.976, -0.123);Ground_Mountain_0_1:(-0.181, 0.976, -0.123);Ground_Mountain_0_1:(-0.181, 0.976, -0.123);"
2.680,189.519,860.261,109.088,-94.473,15.646,12.461,3.260,8.887,0.177,0.000,0.057,4,10.569,0.048,0.978,"Ground_Mountain_0_1:(-0.182, 0.976, -0.123);Ground_Mountain_0_1:(-0.182, 0.976, -0.123);Ground_Mountain_0_1:(-0.182, 0.976, -0.123);Ground_Mountain_0_1:(-0.182, 0.976, -0.123);Ground_Mountain_0_1:(-0.182, 0.976, -0.123);Ground_Mountain_0_1:(-0.182, 0.976, -0.123);"
2.700,189.831,860.511,109.154,-94.297,15.645,12.497,3.282,8.828,0.177,0.000,0.058,4,10.717,0.043,0.978,"Ground_Mountain_0_1:(-0.182, 0.976, -0.123);Ground_Mountain_0_1:(-0.182, 0.976, -0.123);Ground_Mountain_0_1:(-0.182, 0.976, -0.123);Ground_Mountain_0_1:(-0.182, 0.976, -0.123);Ground_Mountain_0_1:(-0.182, 0.976, -0.123);Ground_Mountain_0_1:(-0.182, 0.976, -0.123);"
2.720,190.144,860.761,109.220,-94.121,15.645,12.532,3.307,8.767,0.177,0.000,0.058,4,10.834,0.037,0.978,"Ground_Mountain_0_1:(-0.182, 0.976, -0.123);Ground_Mountain_0_1:(-0.182, 0.976, -0.123);Ground_Mountain_0_1:(-0.182, 0.976, -0.123);Ground_Mountain_0_1:(-0.182, 0.976, -0.123);Ground_Mountain_0_1:(-0.182, 0.976, -0.123);Ground_Mountain_0_1:(-0.182, 0.976, -0.123);"
2.740,190.457,861.012,109.287,-93.947,15.644,12.566,3.335,8.706,0.178,0.000,0.058,4,10.984,0.052,0.978,"Ground_Mountain_0_1:(-0.186, 0.975, -0.125);Ground_Mountain_0_1:(-0.186, 0.975, -0.125);Ground_Mountain_0_1:(-0.186, 0.975, -0.125);Ground_Mountain_0_1:(-0.186, 0.975, -0.125);Ground_Mountain_0_1:(-0.186, 0.975, -0.125);Ground_Mountain_0_1:(-0.186, 0.975, -0.125);"
2.760,190.769,861.263,109.354,-93.775,15.643,12.600,3.367,8.644,0.178,0.000,0.058,4,11.168,0.050,0.977,"Ground_Mountain_0_1:(-0.189, 0.974, -0.126);Ground_Mountain_0_1:(-0.189, 0.974, -0.126);Ground_Mountain_0_1:(-0.189, 0.974, -0.126);Ground_Mountain_0_1:(-0.189, 0.974, -0.126);Ground_Mountain_0_1:(-0.189, 0.974, -0.126);Ground_Mountain_0_1:(-0.189, 0.974, -0.126);"
2.780,191.081,861.516,109.422,-93.603,15.642,12.632,3.403,8.581,0.179,0.000,0.058,4,11.374,0.045,0.977,"Ground_Mountain_0_1:(-0.195, 0.973, -0.127);Ground_Mountain_0_1:(-0.195, 0.973, -0.127);Ground_Mountain_0_1:(-0.195, 0.973, -0.127);Ground_Mountain_0_1:(-0.195, 0.973, -0.127);Ground_Mountain_0_1:(-0.195, 0.973, -0.127);Ground_Mountain_0_1:(-0.195, 0.973, -0.127);"
2.800,191.394,861.768,109.491,-93.433,15.641,12.663,3.443,8.517,0.179,0.000,0.057,4,11.592,0.049,0.977,"Ground_Mountain_0_1:(-0.195, 0.973, -0.127);Ground_Mountain_0_1:(-0.195, 0.973, -0.127);Ground_Mountain_0_1:(-0.195, 0.973, -0.127);Ground_Mountain_0_1:(-0.195, 0.973, -0.127);Ground_Mountain_0_1:(-0.195, 0.973, -0.127);Ground_Mountain_0_1:(-0.195, 0.973, -0.127);"
2.820,191.706,862.022,109.560,-93.264,15.640,12.693,3.486,8.453,0.180,0.000,0.057,4,11.753,0.117,0.976,"Ground_Mountain_0_1:(-0.200, 0.971, -0.127);Ground_Mountain_0_1:(-0.200, 0.971, -0.127);Ground_Mountain_0_1:(-0.200, 0.971, -0.127);Ground_Mountain_0_1:(-0.200, 0.971, -0.127);Ground_Mountain_0_1:(-0.200, 0.971, -0.127);Ground_Mountain_0_1:(-0.200, 0.971, -0.127);"
2.840,192.022,862.276,109.631,-93.096,15.638,12.722,3.531,8.388,0.180,0.000,0.057,4,11.845,0.171,0.976,"Ground_Mountain_0_1:(-0.200, 0.971, -0.127);Ground_Mountain_0_1:(-0.200, 0.971, -0.127);Ground_Mountain_0_1:(-0.200, 0.971, -0.127);Ground_Mountain_0_1:(-0.200, 0.971, -0.127);Ground_Mountain_0_1:(-0.200, 0.971, -0.127);Ground_Mountain_0_1:(-0.200, 0.971, -0.127);"
2.860,192.334,862.530,109.702,-92.930,15.637,12.750,3.577,8.322,0.181,0.000,0.057,4,11.921,0.191,0.975,"Ground_Mountain_0_1:(-0.200, 0.971, -0.127);Ground_Mountain_0_1:(-0.200, 0.971, -0.127);Ground_Mountain_0_1:(-0.200, 0.971, -0.127);Ground_Mountain_0_1:(-0.200, 0.971, -0.127);Ground_Mountain_0_1:(-0.200, 0.971, -0.127);Ground_Mountain_0_1:(-0.200, 0.971, -0.127);"
2.880,192.646,862.785,109.775,-92.765,15.635,12.778,3.625,8.257,0.182,0.000,0.057,4,11.960,0.193,0.975,"Ground_Mountain_0_1:(-0.201, 0.971, -0.128);Ground_Mountain_0_1:(-0.201, 0.971, -0.128);Ground_Mountain_0_1:(-0.201, 0.971, -0.128);Ground_Mountain_0_1:(-0.201, 0.971, -0.128);Ground_Mountain_0_1:(-0.201, 0.971, -0.128);Ground_Mountain_0_1:(-0.201, 0.971, -0.128);"
2.900,192.959,863.040,109.848,-92.601,15.633,12.804,3.673,8.191,0.182,0.000,0.057,4,12.020,0.201,0.975,"Ground_Mountain_0_1:(-0.204, 0.971, -0.128);Ground_Mountain_0_1:(-0.204, 0.971, -0.128);Ground_Mountain_0_1:(-0.204, 0.971, -0.128);Ground_Mountain_0_1:(-0.204, 0.971, -0.128);Ground_Mountain_0_1:(-0.204, 0.971, -0.128);Ground_Mountain_0_1:(-0.204, 0.971, -0.128);"
2.920,193.271,863.296,109.922,-92.439,15.632,12.830,3.722,8.124,0.183,0.000,0.057,4,12.050,0.267,0.974,"Ground_Mountain_0_1:(-0.215, 0.968, -0.129);Ground_Mountain_0_1:(-0.215, 0.968, -0.129);Ground_Mountain_0_1:(-0.215, 0.968, -0.129);Ground_Mountain_0_1:(-0.215, 0.968, -0.129);Ground_Mountain_0_1:(-0.215, 0.968, -0.129);Ground_Mountain_0_1:(-0.215, 0.968, -0.129);"
2.940,193.583,863.553,109.998,-92.278,15.630,12.856,3.771,8.058,0.184,0.000,0.057,4,12.052,0.225,0.974,"Ground_Mountain_0_1:(-0.217, 0.968, -0.129);Ground_Mountain_0_1:(-0.217, 0.968, -0.129);Ground_Mountain_0_1:(-0.217, 0.968, -0.129);Ground_Mountain_0_1:(-0.217, 0.968, -0.129);Ground_Mountain_0_1:(-0.217, 0.968, -0.129);Ground_Mountain_0_1:(-0.217, 0.968, -0.129);"
2.960,193.895,863.810,110.074,-92.118,15.628,12.880,3.822,7.991,0.185,0.000,0.056,4,12.110,0.183,0.973,"Ground_Mountain_0_1:(-0.218, 0.967, -0.129);Ground_Mountain_0_1:(-0.218, 0.967, -0.129);Ground_Mountain_0_1:(-0.218, 0.967, -0.129);Ground_Mountain_0_1:(-0.218, 0.967, -0.129);Ground_Mountain_0_1:(-0.218, 0.967, -0.129);Ground_Mountain_0_1:(-0.218, 0.967, -0.129);"
2.980,194.209,864.067,110.151,-91.960,15.626,12.904,3.872,7.924,0.186,0.000,0.056,4,12.104,0.235,0.973,"Ground_Mountain_0_1:(-0.218, 0.967, -0.130);Ground_Mountain_0_1:(-0.218, 0.967, -0.130);Ground_Mountain_0_1:(-0.218, 0.967, -0.130);Ground_Mountain_0_1:(-0.218, 0.967, -0.130);Ground_Mountain_0_1:(-0.218, 0.967, -0.130);Ground_Mountain_0_1:(-0.218, 0.967, -0.130);"
3.000,194.521,864.325,110.229,-91.803,15.623,12.928,3.921,7.857,0.187,0.000,0.056,4,12.034,0.285,0.972,"Ground_Mountain_0_1:(-0.218, 0.967, -0.129);Ground_Mountain_0_1:(-0.218, 0.967, -0.129);Ground_Mountain_0_1:(-0.218, 0.967, -0.129);Ground_Mountain_0_1:(-0.218, 0.967, -0.129);Ground_Mountain_0_1:(-0.218, 0.967, -0.129);Ground_Mountain_0_1:(-0.218, 0.967, -0.129);"
3.020,194.833,864.584,110.309,-91.647,15.621,12.952,3.967,7.791,0.188,0.000,0.055,4,11.911,0.331,0.972,"Ground_Mountain_0_1:(-0.219, 0.967, -0.130);Ground_Mountain_0_1:(-0.219, 0.967, -0.130);Ground_Mountain_0_1:(-0.219, 0.967, -0.130);Ground_Mountain_0_1:(-0.219, 0.967, -0.130);Ground_Mountain_0_1:(-0.219, 0.967, -0.130);Ground_Mountain_0_1:(-0.219, 0.967, -0.130);"
3.040,195.145,864.843,110.389,-91.493,15.619,12.975,4.011,7.724,0.189,0.000,0.055,4,11.770,0.269,0.971,"Ground_Mountain_0_1:(-0.219, 0.967, -0.130);Ground_Mountain_0_1:(-0.219, 0.967, -0.130);Ground_Mountain_0_1:(-0.219, 0.967, -0.130);Ground_Mountain_0_1:(-0.219, 0.967, -0.130);Ground_Mountain_0_1:(-0.219, 0.967, -0.130);Ground_Mountain_0_1:(-0.219, 0.967, -0.130);"
3.060,195.457,865.102,110.470,-91.340,15.616,12.999,4.053,7.658,0.191,0.000,0.055,4,11.717,0.257,0.970,"Ground_Mountain_0_1:(-0.225, 0.966, -0.131);Ground_Mountain_0_1:(-0.225, 0.966, -0.131);Ground_Mountain_0_1:(-0.225, 0.966, -0.131);Ground_Mountain_0_1:(-0.225, 0.966, -0.131);Ground_Mountain_0_1:(-0.225, 0.966, -0.131);Ground_Mountain_0_1:(-0.225, 0.966, -0.131);"
3.080,195.768,865.362,110.551,-91.188,15.614,13.022,4.095,7.592,0.192,0.000,0.055,4,11.639,0.304,0.970,"Ground_Mountain_0_1:(-0.228, 0.965, -0.131);Ground_Mountain_0_1:(-0.228, 0.965, -0.131);Ground_Mountain_0_1:(-0.228, 0.965, -0.131);Ground_Mountain_0_1:(-0.228, 0.965, -0.131);Ground_Mountain_0_1:(-0.228, 0.965, -0.131);Ground_Mountain_0_1:(-0.228, 0.965, -0.131);"
3.100,196.080,865.622,110.634,-91.037,15.611,13.044,4.136,7.526,0.193,0.000,0.055,4,11.601,0.193,0.969,"Ground_Mountain_0_1:(-0.230, 0.964, -0.131);Ground_Mountain_0_1:(-0.230, 0.964, -0.131);Ground_Mountain_0_1:(-0.230, 0.964, -0.131);Ground_Mountain_0_1:(-0.230, 0.964, -0.131);Ground_Mountain_0_1:(-0.230, 0.964, -0.131);Ground_Mountain_0_1:(-0.230, 0.964, -0.131);"
3.120,196.392,865.882,110.717,-90.888,15.609,13.066,4.176,7.461,0.194,0.000,0.055,4,11.578,0.233,0.969,"Ground_Mountain_0_1:(-0.236, 0.963, -0.130);Ground_Mountain_0_1:(-0.236, 0.963, -0.130);Ground_Mountain_0_1:(-0.236, 0.963, -0.130);Ground_Mountain_0_1:(-0.236, 0.963, -0.130);Ground_Mountain_0_1:(-0.236, 0.963, -0.130);Ground_Mountain_0_1:(-0.236, 0.963, -0.130);"
3.140,196.705,866.144,110.801,-90.741,15.606,13.088,4.215,7.395,0.196,0.000,0.054,4,11.507,0.258,0.968,"Ground_Mountain_0_1:(-0.236, 0.963, -0.130);Ground_Mountain_0_1:(-0.236, 0.963, -0.130);Ground_Mountain_0_1:(-0.236, 0.963, -0.130);Ground_Mountain_0_1:(-0.236, 0.963, -0.130);Ground_Mountain_0_1:(-0.236, 0.963, -0.130);Ground_Mountain_0_1:(-0.236, 0.963, -0.130);"
3.160,197.016,866.405,110.886,-90.594,15.603,13.110,4.252,7.329,0.197,0.000,0.054,4,11.417,0.307,0.968,"Ground_Mountain_0_1:(-0.236, 0.963, -0.131);Ground_Mountain_0_1:(-0.236, 0.963, -0.131);Ground_Mountain_0_1:(-0.236, 0.963, -0.131);Ground_Mountain_0_1:(-0.236, 0.963, -0.131);Ground_Mountain_0_1:(-0.236, 0.963, -0.131);Ground_Mountain_0_1:(-0.236, 0.963, -0.131);"
3.180,197.328,866.667,110.972,-90.449,15.601,13.131,4.287,7.264,0.198,0.000,0.054,4,11.292,0.354,0.967,"Ground_Mountain_0_1:(-0.237, 0.963, -0.131);Ground_Mountain_0_1:(-0.237, 0.963, -0.131);Ground_Mountain_0_1:(-0.237, 0.963, -0.131);Ground_Mountain_0_1:(-0.237, 0.963, -0.131);Ground_Mountain_0_1:(-0.237, 0.963, -0.131);Ground_Mountain_0_1:(-0.237, 0.963, -0.131);"
3.200,197.639,866.929,111.058,-90.305,15.598,13.153,4.319,7.199,0.200,0.000,0.053,4,11.178,0.321,0.967,"Ground_Mountain_0_1:(-0.237, 0.963, -0.131);Ground_Mountain_0_1:(-0.237, 0.963, -0.131);Ground_Mountain_0_1:(-0.237, 0.963, -0.131);Ground_Mountain_0_1:(-0.237, 0.963, -0.131);Ground_Mountain_0_1:(-0.237, 0.963, -0.131);Ground_Mountain_0_1:(-0.237, 0.963, -0.131);"
3.220,197.951,867.192,111.145,-90.162,15.595,13.174,4.351,7.135,0.201,0.000,0.053,4,11.146,0.292,0.966,"Ground_Mountain_0_1:(-0.249, 0.960, -0.130);Ground_Mountain_0_1:(-0.249, 0.960, -0.130);Ground_Mountain_0_1:(-0.249, 0.960, -0.130);Ground_Mountain_0_1:(-0.249, 0.960, -0.130);Ground_Mountain_0_1:(-0.249, 0.960, -0.130);Ground_Mountain_0_1:(-0.249, 0.960, -0.130);"
3.240,198.262,867.456,111.232,-90.021,15.592,13.195,4.383,7.071,0.203,0.000,0.053,4,11.094,0.256,0.965,"Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);"
3.260,198.573,867.719,111.321,-89.881,15.589,13.215,4.415,7.006,0.204,0.000,0.053,4,11.117,0.211,0.965,"Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);"
3.280,198.885,867.983,111.409,-89.742,15.586,13.235,4.447,6.942,0.205,0.000,0.052,4,11.113,0.245,0.964,"Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);"
3.300,199.197,868.248,111.499,-89.605,15.583,13.254,4.477,6.878,0.207,0.000,0.052,4,11.066,0.284,0.964,"Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);Ground_Mountain_0_1:(-0.254, 0.958, -0.130);"
