time,x,y,z,speed,wheels,up,trafficNearJoin
6.279998,-656.9745,8.502767,538.8353,28.88019,4,0.9999995,1
6.299998,-656.397,8.502175,538.8431,28.88019,4,0.9999995,1
6.319998,-655.8194,8.501585,538.8508,28.88019,4,0.9999995,1
6.339998,-655.2418,8.500996,538.8584,28.88019,4,0.9999995,1
6.359998,-654.6642,8.500407,538.866,28.88018,4,0.9999995,1
6.379998,-654.0867,8.49982,538.8735,28.88018,4,0.9999995,1
6.399998,-653.5091,8.499233,538.8809,28.88018,4,0.9999995,1
6.419998,-652.9315,8.498648,538.8883,28.88017,4,0.9999995,2
6.439998,-652.3539,8.498063,538.8956,28.88017,4,0.9999995,2
6.459998,-651.7764,8.497479,538.9028,28.88017,4,0.9999995,2
6.479998,-651.1988,8.496897,538.9099,28.88017,4,0.9999995,2
6.499998,-650.6212,8.496315,538.917,28.88016,4,0.9999995,2
6.519998,-650.0436,8.495734,538.924,28.88016,4,0.9999995,2
6.539998,-649.4661,8.495155,538.9309,28.88016,4,0.9999995,2
6.559998,-648.8885,8.494577,538.9377,28.88015,4,0.9999995,2
6.579998,-648.3109,8.494,538.9445,28.88015,4,0.9999995,2
6.599998,-647.7333,8.493424,538.9512,28.88014,4,0.9999995,2
6.619998,-647.1558,8.49285,538.9578,28.88014,4,0.9999995,2
6.639997,-646.5782,8.492277,538.9644,28.88014,4,0.9999995,2
6.659997,-646.0006,8.491705,538.9708,28.88014,4,0.9999995,2
6.679997,-645.423,8.491135,538.9772,28.88013,4,0.9999995,2
6.699997,-644.8455,8.490565,538.9835,28.88013,4,0.9999995,2
6.719997,-644.2679,8.489997,538.9897,28.88013,4,0.9999995,2
6.739997,-643.6903,8.48943,538.9959,28.88013,4,0.9999995,2
6.759997,-643.1127,8.488865,539.002,28.88012,4,0.9999995,2
6.779998,-642.5352,8.488301,539.0079,28.88012,4,0.9999995,2
6.799998,-641.9576,8.487739,539.0138,28.88012,4,0.9999995,2
6.819998,-641.38,8.487178,539.0196,28.88011,4,0.9999995,2
6.839998,-640.8024,8.486618,539.0253,28.88011,4,0.9999995,2
6.859998,-640.2249,8.48606,539.0309,28.8801,4,0.9999995,2
6.879998,-639.6473,8.485504,539.0365,28.8801,4,0.9999995,2
6.899998,-639.0698,8.484949,539.0419,28.88009,4,0.9999995,2
6.919998,-638.4922,8.484396,539.0473,28.88009,4,0.9999995,2
6.939998,-637.9146,8.483844,539.0526,28.88008,4,0.9999995,2
6.959998,-637.337,8.483294,539.0577,28.88008,4,0.9999995,2
6.979998,-636.7595,8.482745,539.0628,28.88008,4,0.9999995,2
6.999998,-636.1819,8.482198,539.0678,28.88007,4,0.9999995,2
7.019998,-635.6043,8.481652,539.0727,28.88007,4,0.9999995,2
7.039998,-635.0267,8.481108,539.0775,28.88007,4,0.9999995,2
7.059998,-634.4492,8.480565,539.0822,28.88006,4,0.9999995,2
7.079998,-633.8716,8.480024,539.0869,28.88006,4,0.9999995,2
7.099998,-633.294,8.479485,539.0914,28.88005,4,0.9999995,2
7.119998,-632.7164,8.478947,539.0958,28.88005,4,0.9999995,2
7.139997,-632.1389,8.478411,539.1001,28.88004,4,0.9999995,2
7.159997,-631.5613,8.477877,539.1043,28.88004,4,0.9999995,2
7.179997,-630.9837,8.477345,539.1085,28.88003,4,0.9999996,2
7.199997,-630.4061,8.476814,539.1125,28.88003,4,0.9999996,2
7.219997,-629.8286,8.476286,539.1164,28.88002,4,0.9999996,2
7.239997,-629.251,8.47576,539.1202,28.88002,4,0.9999996,2
7.259997,-628.6734,8.475235,539.124,28.88002,4,0.9999996,2
7.279997,-628.0958,8.474713,539.1276,28.88001,4,0.9999996,2
7.299997,-627.5182,8.474194,539.131,28.88,4,0.9999996,2
7.319997,-626.9407,8.473676,539.1345,28.88,4,0.9999996,2
7.339997,-626.3631,8.473161,539.1378,28.87999,4,0.9999996,2
7.359997,-625.7855,8.472648,539.1409,28.87998,4,0.9999996,2
7.379997,-625.2079,8.472137,539.144,28.87998,4,0.9999996,2
7.399997,-624.6304,8.471629,539.147,28.87997,4,0.9999996,2
7.419997,-624.0528,8.471124,539.1499,28.87997,4,0.9999996,2
7.439997,-623.4752,8.47062,539.1526,28.87996,4,0.9999996,2
7.459997,-622.8976,8.470119,539.1553,28.87996,4,0.9999996,2
7.479997,-622.3201,8.469621,539.1578,28.87995,4,0.9999996,2
7.499997,-621.7425,8.469125,539.1603,28.87994,4,0.9999996,2
7.519997,-621.1649,8.468631,539.1626,28.87993,4,0.9999996,2
7.539997,-620.5873,8.46814,539.1648,28.87992,4,0.9999996,2
7.559998,-620.0098,8.467651,539.1669,28.87992,4,0.9999996,2
7.579998,-619.4322,8.467165,539.1688,28.87991,4,0.9999996,2
7.599998,-618.8546,8.466681,539.1707,28.8799,4,0.9999996,2
7.619998,-618.277,8.466201,539.1724,28.8799,4,0.9999996,2
7.639997,-617.6995,8.465722,539.174,28.87988,4,0.9999996,2
7.659997,-617.1219,8.465246,539.1754,28.87988,4,0.9999996,2
7.679997,-616.5443,8.464773,539.1768,28.87987,4,0.9999996,2
7.699997,-615.9667,8.464302,539.1781,28.87986,4,0.9999996,2
7.719997,-615.3892,8.463834,539.1793,28.87985,4,0.9999996,2
7.739997,-614.8116,8.463368,539.1803,28.87984,4,0.9999996,2
7.759997,-614.234,8.462906,539.1812,28.87984,4,0.9999996,1
7.779997,-613.6564,8.462446,539.182,28.87983,4,0.9999996,1
7.799997,-613.0789,8.461988,539.1827,28.87982,4,0.9999996,1
7.819997,-612.5013,8.461534,539.1832,28.87981,4,0.9999996,1
7.839997,-611.9237,8.461082,539.1836,28.8798,4,0.9999996,1
7.859997,-611.3461,8.460632,539.1838,28.87979,4,0.9999996,1
7.879997,-610.7686,8.460186,539.184,28.87978,4,0.9999996,1
7.899997,-610.191,8.459743,539.184,28.87977,4,0.9999997,1
7.919997,-609.6134,8.459302,539.1838,28.87976,4,0.9999997,1
7.939997,-609.0358,8.458864,539.1836,28.87975,4,0.9999997,1
7.959997,-608.4583,8.458429,539.1832,28.87974,4,0.9999997,1
