time,racer,x,y,z,speed,grounded,branch,position,earned,rejoinSeconds,road,nextGate,misses,penalty,buzzes
5.480,BLUE,317.368,21.759,486.975,25.481,4,none,0.000,0.000,0.000,25.822,1,0,0.000,0
5.620,YOU reference pilot,322.324,16.363,510.866,22.549,4,none,0.000,0.000,0.000,1.254,1,0,0.000,0
5.620,EMBER,317.847,17.735,504.819,21.454,4,none,0.000,0.000,0.000,7.632,1,0,0.000,0
5.620,GOLD,321.301,21.681,487.235,28.486,4,none,0.000,0.000,0.000,25.460,1,0,0.000,0
5.620,BLUE,317.328,22.632,483.444,26.366,4,none,0.000,0.000,0.000,29.433,1,0,0.000,0
5.740,YOU reference pilot,322.238,16.950,508.182,23.176,4,none,0.000,0.000,0.000,3.994,1,0,0.000,0
5.740,EMBER,317.756,18.310,502.266,22.089,4,none,0.000,0.000,0.000,10.236,1,0,0.000,0
5.740,GOLD,321.263,22.519,483.865,29.279,4,none,0.000,0.000,0.000,28.930,1,0,0.000,0
5.740,BLUE,317.296,23.416,480.328,27.089,4,none,0.000,0.000,0.000,32.637,1,0,0.000,0
5.880,YOU reference pilot,322.136,17.665,504.963,23.875,4,none,0.000,0.000,0.000,7.291,1,0,0.000,0
5.880,EMBER,317.649,19.012,499.198,22.801,4,none,0.000,0.000,0.000,13.368,1,0,0.000,0
5.880,GOLD,321.226,23.541,479.824,30.162,4,none,0.000,0.000,0.000,33.085,1,0,0.000,0
5.880,BLUE,317.264,24.377,476.594,27.893,4,none,0.000,0.000,0.000,36.481,1,0,0.000,0
6.020,YOU reference pilot,322.037,18.414,501.653,24.538,4,none,0.000,0.000,0.000,10.680,1,0,0.000,0
6.020,EMBER,317.544,19.746,496.039,23.480,4,none,0.000,0.000,0.000,16.593,1,0,0.000,0
6.020,GOLD,321.196,24.612,475.671,30.980,4,none,0.000,0.000,0.000,37.356,1,0,0.000,0
6.020,BLUE,317.234,25.386,472.759,28.654,4,none,0.000,0.000,0.000,40.435,1,0,0.000,0
6.140,YOU reference pilot,321.956,19.083,498.749,25.080,4,none,0.000,0.000,0.000,13.660,1,0,0.000,0
6.140,EMBER,317.460,20.401,493.260,24.038,4,none,0.000,0.000,0.000,19.433,1,0,0.000,0
6.140,GOLD,321.172,25.563,472.050,31.331,4,none,0.000,0.000,0.000,41.092,1,0,0.000,0
