time,x,y,z,speed,wheels,up
6.119998,320.1811,10.94,537.7083,1.218108,4,0.9826689
6.139998,320.1821,10.93287,537.6772,1.463808,4,0.9826264
6.159998,320.1831,10.92924,537.6418,1.707954,4,0.98259
6.179998,320.1843,10.92895,537.6022,1.950549,4,0.982559
6.199998,320.1855,10.9318,537.5582,2.191598,4,0.9825325
6.219998,320.1868,10.93757,537.5098,2.431108,4,0.9825098
6.239998,320.1882,10.94601,537.4571,2.669083,4,0.9824896
6.259998,320.1896,10.95688,537.4001,2.905531,4,0.9824715
6.279998,320.191,10.96992,537.3386,3.140457,4,0.9824558
6.299998,320.1924,10.98488,537.2728,3.373869,4,0.9824419
6.319998,320.1938,11.00154,537.2026,3.605771,4,0.9824296
6.339998,320.1951,11.01967,537.1279,3.836172,4,0.9824185
6.359998,320.1963,11.03907,537.049,4.065075,4,0.9824083
6.379998,320.1973,11.05956,536.9655,4.29249,4,0.9823989
6.399998,320.1981,11.08099,536.8776,4.518415,4,0.9823899
6.419998,320.1987,11.10322,536.7853,4.742861,4,0.9823812
6.439998,320.1989,11.12612,536.6885,4.96583,4,0.982373
6.459998,320.1989,11.1496,536.5874,5.187322,4,0.9823646
6.479998,320.1983,11.1736,536.4819,5.407347,4,0.9823556
6.499998,320.1973,11.19806,536.372,5.625903,4,0.9823458
6.519998,320.1958,11.22294,536.2578,5.842991,4,0.9823344
6.539998,320.1936,11.24822,536.1392,6.058618,4,0.9823213
6.559998,320.1908,11.27389,536.0165,6.272778,4,0.9823064
6.579998,320.1872,11.29997,535.8894,6.485476,4,0.982289
6.599998,320.1828,11.32645,535.7582,6.696707,4,0.9822691
6.619998,320.1774,11.35337,535.6228,6.906476,4,0.9822459
6.639997,320.1711,11.38075,535.4833,7.114777,4,0.9822208
6.659997,320.1637,11.40863,535.3397,7.321617,4,0.9821944
6.679997,320.1552,11.43704,535.1921,7.526989,4,0.9821664
6.699997,320.1454,11.46602,535.0406,7.730902,4,0.9821385
6.719997,320.1342,11.4956,534.8851,7.933352,4,0.9821116
6.739997,320.1217,11.52581,534.7256,8.134352,4,0.9820865
6.759997,320.1076,11.55668,534.5624,8.333908,4,0.9820639
6.779998,320.0919,11.58822,534.3954,8.532018,4,0.9820424
6.799998,320.0745,11.62046,534.2245,8.728697,4,0.9820216
6.819998,320.0553,11.65341,534.0501,8.92394,4,0.9820006
6.839998,320.0343,11.68708,533.8721,9.117756,4,0.9819786
6.859998,320.0112,11.72149,533.6904,9.310153,4,0.9819548
6.879998,319.986,11.75664,533.5052,9.501127,4,0.9819296
6.899998,319.9586,11.79254,533.3166,9.690688,4,0.9819031
6.919998,319.929,11.82918,533.1246,9.878839,4,0.9818752
6.939998,319.8969,11.86657,532.9292,10.06559,4,0.9818464
6.959998,319.8624,11.9047,532.7306,10.25093,4,0.9818166
6.979998,319.8252,11.94356,532.5287,10.43488,4,0.9817861
6.999998,319.7853,11.98314,532.3237,10.61744,4,0.9817547
7.019998,319.7427,12.0234,532.1158,10.79131,4,0.9817219
7.039998,319.6973,12.06423,531.9055,10.93638,4,0.9816875
7.059998,319.6492,12.10553,531.6934,11.05758,4,0.981652
7.079998,319.5984,12.14722,531.4799,11.15894,4,0.9816158
7.099998,319.545,12.18922,531.2653,11.24378,4,0.9815784
7.119998,319.4888,12.23148,531.0499,11.31486,4,0.98154
7.139997,319.43,12.27393,530.8339,11.37444,4,0.9815008
7.159997,319.3684,12.31654,530.6177,11.42441,4,0.9814609
7.179997,319.3042,12.35926,530.4014,11.46635,4,0.9814202
7.199997,319.2372,12.40205,530.1852,11.50157,4,0.9813789
7.219997,319.1675,12.44489,529.9692,11.53116,4,0.9813377
7.239997,319.0951,12.48774,529.7536,11.55605,4,0.9812965
7.259997,319.02,12.53058,529.5384,11.57701,4,0.9812551
7.279997,318.9421,12.57338,529.3238,11.59467,4,0.9812136
7.299997,318.8615,12.61612,529.1099,11.60959,4,0.9811723
7.319997,318.7782,12.65879,528.8967,11.62221,4,0.9811304
7.339997,318.6921,12.70137,528.6844,11.63293,4,0.9810882
7.359997,318.6033,12.74384,528.4729,11.64204,4,0.981046
7.379997,318.5118,12.7862,528.2624,11.64982,4,0.9810033
7.399997,318.4175,12.82841,528.053,11.6565,4,0.9809599
7.419997,318.3206,12.87049,527.8446,11.66227,4,0.9809166
7.439997,318.2209,12.9124,527.6373,11.66726,4,0.9808734
7.459997,318.1185,12.95415,527.4313,11.67164,4,0.9808303
7.479997,318.0135,12.99572,527.2264,11.6755,4,0.980787
7.499997,317.9057,13.0371,527.0229,11.67894,4,0.9807435
7.519997,317.7953,13.07829,526.8207,11.68202,4,0.9806995
7.539997,317.6823,13.11926,526.6199,11.68482,4,0.9806548
7.559998,317.5666,13.16003,526.4205,11.6874,4,0.9806098
7.579998,317.4483,13.20057,526.2225,11.68978,4,0.9805645
7.599998,317.3273,13.24088,526.0259,11.69202,4,0.9805196
7.619998,317.2038,13.28096,525.8309,11.69414,4,0.9804752
7.639997,317.0777,13.32079,525.6375,11.69617,4,0.9804314
7.659997,316.9491,13.36036,525.4456,11.69813,4,0.9803881
7.679997,316.8179,13.39967,525.2554,11.70004,4,0.9803447
7.699997,316.6842,13.43871,525.0668,11.70192,4,0.9803012
7.719997,316.548,13.47748,524.8799,11.70378,4,0.9802579
7.739997,316.4093,13.51597,524.6948,11.70563,4,0.9802148
7.759997,316.2682,13.55417,524.5114,11.70747,4,0.9801718
7.779997,316.1246,13.59207,524.3297,11.70931,4,0.9801285
7.799997,315.9786,13.62966,524.1499,11.71117,4,0.9800852
7.819997,315.8302,13.66694,523.972,11.71304,4,0.9800423
7.839997,315.6795,13.7039,523.796,11.71492,4,0.9800003
7.859997,315.5264,13.74053,523.6218,11.71684,4,0.9799592
7.879997,315.371,13.77682,523.4496,11.71877,4,0.979919
7.899997,315.2133,13.81273,523.2794,11.72073,4,0.9798821
7.919997,315.0533,13.84824,523.1111,11.72272,4,0.9798478
7.939997,314.891,13.8833,522.9449,11.72477,4,0.9798144
7.959997,314.7265,13.91792,522.7807,11.72687,4,0.9797798
7.979997,314.5598,13.95206,522.6186,11.72906,4,0.9797428
7.999997,314.3908,13.98571,522.4586,11.73131,4,0.9797015
8.019998,314.2197,14.01883,522.3007,11.73365,4,0.9796585
8.039997,314.0464,14.0514,522.1448,11.73609,4,0.9796199
8.059998,313.871,14.08337,521.9912,11.73863,4,0.9795889
8.079997,313.6935,14.11472,521.8397,11.74129,4,0.9795672
8.099998,313.514,14.14544,521.6904,11.74406,4,0.9795547
8.119997,313.3324,14.17549,521.5433,11.74697,4,0.9795539
8.139997,313.1487,14.20479,521.3983,11.75002,4,0.9795591
8.159997,312.9631,14.23327,521.2557,11.75323,4,0.9795607
8.179997,312.7755,14.26089,521.1153,11.75661,4,0.9795507
8.199997,312.5859,14.2876,520.9772,11.76015,4,0.9795215
8.219997,312.3944,14.31338,520.8414,11.76386,4,0.9794713
8.239997,312.201,14.33816,520.7079,11.76774,4,0.9794083
8.259997,312.0057,14.36188,520.5768,11.77181,4,0.9793372
8.279997,311.8086,14.3845,520.448,11.77607,4,0.9792618
8.299997,311.6098,14.40598,520.3215,11.78052,4,0.9791857
8.319997,311.4092,14.42634,520.1973,11.78515,4,0.9791108
8.339997,311.2069,14.44556,520.0756,11.78994,4,0.9790397
8.359997,311.003,14.46362,519.9561,11.79489,4,0.978972
8.379997,310.7974,14.48051,519.8391,11.80001,4,0.9788963
8.399997,310.5903,14.4962,519.7246,11.80527,4,0.9788041
8.419997,310.3816,14.5107,519.6125,11.81064,4,0.9786938
8.439997,310.1713,14.524,519.503,11.81613,4,0.9785655
8.459997,309.9596,14.53607,519.396,11.82171,4,0.9784228
8.479997,309.7464,14.54692,519.2914,11.82736,4,0.9782701
8.499997,309.5319,14.55657,519.1895,11.83305,4,0.9781123
8.519997,309.3161,14.56507,519.0901,11.83875,4,0.9779536
8.539997,309.099,14.57246,518.9933,11.84442,4,0.9777992
8.559997,308.8806,14.57883,518.8992,11.85005,4,0.9776537
8.579997,308.661,14.58424,518.8077,11.8556,4,0.977518
8.599997,308.4402,14.58875,518.7188,11.86105,4,0.9773898
8.619997,308.2184,14.59244,518.6328,11.86639,4,0.9772681
8.639997,307.9954,14.59537,518.5494,11.8716,4,0.9771541
