run,name,lap,toward_gate,observed_seconds,arrival_time,misses,recoveries
standalone-race-0-mistake-traffic,EMBER,1,6,10.800,217.920,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,1,6,10.380,220.760,0,0
standalone-race-0-mistake-traffic,BLUE,1,7,10.140,222.520,0,0
standalone-race-0-mistake-traffic,GOLD,1,9,7.620,224.520,0,0
standalone-race-0-mistake-traffic,EMBER,1,7,9.380,227.300,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,1,7,9.560,230.320,0,0
standalone-race-0-mistake-traffic,GOLD,1,10,7.040,231.560,0,0
standalone-race-0-mistake-traffic,BLUE,1,8,9.800,232.320,0,0
standalone-race-0-mistake-traffic,EMBER,1,8,9.020,236.320,0,0
standalone-race-0-mistake-traffic,GOLD,1,11,6.000,237.560,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,1,8,8.740,239.060,0,0
standalone-race-0-mistake-traffic,BLUE,1,9,8.500,240.820,0,0
standalone-race-0-mistake-traffic,EMBER,1,9,8.260,244.580,0,0
standalone-race-0-mistake-traffic,GOLD,1,12,8.520,246.080,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,1,9,8.280,247.340,0,0
standalone-race-0-mistake-traffic,BLUE,1,10,7.260,248.080,0,0
standalone-race-0-mistake-traffic,GOLD,1,13,4.760,250.840,0,0
standalone-race-0-mistake-traffic,EMBER,1,10,7.500,252.080,0,0
standalone-race-0-mistake-traffic,BLUE,1,11,6.260,254.340,0,0
