time,x,y,z,speed,wheels,up,throttle,brake,nextGate,lap,recoveries
25.80647,757.1674,94.57082,-186.11,31.67582,4,0.986267,0.25811,0,2,0,1
25.92647,758.192,95.28598,-189.6967,31.66473,4,0.9842191,0.2666031,0,2,0,1
26.04646,759.3079,96.04742,-193.2452,31.65185,4,0.9822567,0.2767654,0,2,0,1
26.16647,760.509,96.84067,-196.7575,31.63896,4,0.9805824,0.2871597,0,2,0,1
26.28646,761.7885,97.65235,-200.2365,31.62757,4,0.9791918,0.2965454,0,2,0,1
26.40647,763.1393,98.47436,-203.6849,31.61819,4,0.978079,0.3043152,0,2,0,1
26.52646,764.5546,99.30298,-207.1048,31.61083,4,0.9771801,0.3104584,0,2,0,1
26.64647,766.0287,100.1364,-210.498,31.60516,4,0.9765076,0.31521,0,2,0,1
26.76646,767.5568,100.9719,-213.8663,31.60105,4,0.9761266,0.318689,0,2,0,1
26.88647,769.136,101.8056,-217.2115,31.59856,4,0.9760071,0.3209015,0,2,0,1
27.00646,770.7653,102.6329,-220.5343,31.59748,4,0.9761396,0.3219391,0,2,0,1
27.12646,772.4451,103.4489,-223.8349,31.59782,4,0.9765526,0.3218796,0,2,0,1
27.24647,774.1786,104.2481,-227.1126,31.5998,4,0.9773096,0.3205292,0,2,0,1
27.36646,775.9701,105.0233,-230.3658,31.60359,4,0.9783644,0.3177338,0,2,0,1
27.48647,777.8257,105.7664,-233.592,31.60966,4,0.9798392,0.3132218,0,2,0,1
27.60646,779.7527,106.4656,-236.7883,31.61884,4,0.9818295,0.3063644,0,2,0,1
27.72647,781.7609,107.1013,-239.9518,31.63424,2,0.984808,0.2954834,0,2,0,1
27.84646,783.8613,107.6451,-243.0782,31.65879,4,0.9886636,0.2758209,0,2,0,1
27.96646,786.0797,108.1318,-246.1775,32.30146,4,0.9903347,1,0,2,0,1
28.08646,788.4584,108.5937,-249.2749,33.04501,4,0.9915928,1,0,2,0,1
28.20646,791.0129,109.0312,-252.349,33.76287,4,0.9929618,1,0,2,0,1
28.32646,793.7604,109.4255,-255.3753,34.45702,3,0.9944605,1,0,2,0,1
28.44646,796.6667,109.7414,-258.2784,33.73755,3,0.9964976,0,0,2,0,1
28.56646,799.6874,109.9828,-260.9778,33.84078,4,0.9975179,1,0,2,0,1
28.68646,802.7874,110.1795,-263.4252,32.11826,4,0.998001,0,0.3659096,2,0,1
28.80646,805.8906,110.3518,-265.5554,31.24638,4,0.9983456,1,0,2,0,1
28.92646,809.1119,110.5188,-267.4485,30.85024,4,0.9985802,0,0.4132214,2,0,1
29.04646,812.3816,110.6824,-269.0747,30.47081,4,0.9987498,1,0,2,0,1
29.16646,815.819,110.8343,-270.4949,31.32064,4,0.9991269,1,0,2,0,1
29.28646,819.4412,110.9348,-271.7176,32.16022,4,0.9995636,1,0,2,0,1
29.38647,822.5881,110.9641,-272.5828,32.85927,4,0.999818,1,0,3,0,1
29.50646,826.5015,110.9431,-273.4502,33.711,4,0.9999659,1,0,3,0,1
29.62646,830.5461,110.8847,-274.1717,34.56013,4,0.9999999,1,0,3,0,1
29.72647,834.0075,110.8229,-274.6883,35.25462,4,0.9999842,1,0,3,0,1
29.84646,838.2631,110.7422,-275.2225,36.06709,4,0.9999444,1,0,3,0,1
29.96646,842.6182,110.6573,-275.6703,36.55242,4,0.9999025,0,0.2959309,3,0,1
30.06647,846.2995,110.5852,-275.9798,37.1997,4,0.9998799,1,0,3,0,1
30.18646,850.7885,110.5052,-276.2805,37.52391,4,0.9999011,1,0,3,0,1
30.30646,855.2532,110.4596,-276.4966,36.22529,4,0.9999977,0,1,3,0,1
30.42646,859.403,110.4841,-276.6103,33.71455,4,0.9999989,0,0.500227,3,0,1
30.52646,862.7128,110.5212,-276.6252,32.77023,4,0.9999988,0,0.2270594,3,0,1
30.64646,866.5831,110.5503,-276.5597,31.8561,4,0.9999996,0.1205185,0,3,0,1
30.76646,870.4059,110.5559,-276.4237,31.88317,4,0.9999999,0.09608765,0,3,0,1
30.86646,873.5916,110.5503,-276.2731,31.89482,4,1,0.08558197,0,3,0,1
30.98646,877.4141,110.5418,-276.0673,31.90193,4,1,0.07911529,0,3,0,1
31.10646,881.2366,110.5372,-275.8521,31.90496,4,1,0.07628937,0,3,0,1
31.20646,884.4224,110.5365,-275.6768,31.90586,4,1,0.0753952,0,3,0,1
31.32646,888.2462,110.5376,-275.481,31.90604,4,1,0.07516479,0,3,0,1
31.44646,892.071,110.5388,-275.308,31.90586,4,1,0.07528229,0,3,0,1
31.54646,895.2593,110.5393,-275.1844,31.90571,4,1,0.07541199,0,3,0,1
31.66646,899.0861,110.5394,-275.0625,31.90564,4,1,0.07548981,0,3,0,1
31.78646,902.9137,110.5393,-274.969,31.90572,4,1,0.07544098,0,3,0,1
