seconds,x,y,z,speed,station,lateral,up,wheels
3.179999,816.5542,98.42981,-133.8734,6.888523,1566.258,0,0.9999599,4
3.199998,816.61,98.43103,-133.7471,6.905361,1566.396,0,0.99996,4
3.219998,816.666,98.43226,-133.6205,6.918963,1566.534,0,0.99996,4
3.239999,816.7215,98.43348,-133.4949,6.867704,1566.673,0,0.99996,4
3.259999,816.7771,98.43471,-133.3688,6.888548,1566.81,0,0.9999599,4
3.28,816.8328,98.43594,-133.2425,6.905379,1566.948,0,0.9999599,4
3.299998,816.8886,98.43717,-133.1158,6.918972,1567.086,0,0.9999599,4
3.319999,816.9439,98.4384,-132.9901,6.867706,1567.224,0,0.9999598,4
3.339999,816.9993,98.43964,-132.864,6.888541,1567.362,0,0.9999598,4
3.36,817.0548,98.44087,-132.7375,6.905366,1567.5,0,0.9999598,4
3.379998,817.1104,98.44212,-132.6108,6.918954,1567.638,0,0.9999598,4
3.399999,817.1654,98.44335,-132.485,6.867683,1567.776,0,0.9999597,4
3.419999,817.2206,98.44459,-132.3588,6.888515,1567.913,0,0.9999596,4
3.44,817.2758,98.44583,-132.2322,6.905335,1568.051,0,0.9999595,4
3.459998,817.3311,98.44709,-132.1053,6.918916,1568.189,0,0.9999593,4
3.479999,817.3858,98.44834,-131.9793,6.867635,1568.328,0,0.9999591,4
3.499999,817.4406,98.4496,-131.853,6.888453,1568.465,0,0.9999589,4
3.52,817.4954,98.45087,-131.7262,6.905259,1568.603,0,0.9999588,4
3.539998,817.5502,98.45215,-131.5992,6.918826,1568.741,0,0.9999586,4
3.559999,817.6046,98.45342,-131.473,6.867532,1568.879,0,0.9999585,4
3.579999,817.6589,98.4547,-131.3464,6.88834,1569.017,0,0.9999583,4
3.599999,817.7132,98.45598,-131.2195,6.905135,1569.155,0,0.999958,4
3.619998,817.7675,98.45727,-131.0922,6.918689,1569.293,0,0.9999577,4
3.639998,817.8212,98.45856,-130.9658,6.867384,1569.431,0,0.9999574,4
3.659999,817.8749,98.45986,-130.839,6.888176,1569.568,0,0.999957,4
3.679999,817.9285,98.46118,-130.7117,6.904953,1569.706,0,0.9999565,4
3.699998,817.9821,98.46251,-130.5842,6.918489,1569.844,0,0.9999561,4
3.719998,818.0351,98.46384,-130.4575,6.867172,1569.983,0,0.9999558,4
3.739999,818.0881,98.46517,-130.3303,6.887964,1570.12,0,0.9999555,4
3.759999,818.141,98.46652,-130.2028,6.904763,1570.258,0,0.9999552,4
3.779998,818.1938,98.46788,-130.0749,6.918344,1570.396,0,0.9999548,4
3.799998,818.246,98.46923,-129.9479,6.867087,1570.534,0,0.9999542,4
3.819999,818.2982,98.4706,-129.8204,6.887933,1570.672,0,0.9999536,4
3.839999,818.3505,98.47199,-129.6926,6.904766,1570.809,0,0.9999529,4
3.859998,818.4028,98.4734,-129.5646,6.918346,1570.947,0,0.9999522,4
3.879998,818.4547,98.47482,-129.4374,6.867051,1571.087,0,0.9999515,4
3.899999,818.5067,98.47624,-129.3099,6.887819,1571.224,0,0.999951,4
3.919999,818.559,98.47768,-129.1821,6.90454,1571.362,0,0.9999506,4
3.939998,818.6115,98.47913,-129.0541,6.917982,1571.5,0,0.99995,4
3.959998,818.6638,98.48058,-128.9272,6.866525,1571.639,0,0.9999492,4
3.979999,818.7165,98.48206,-128.8,6.887106,1571.776,0,0.9999483,4
3.999999,818.7697,98.48356,-128.6726,6.903605,1571.914,0,0.9999472,4
4.019998,818.8234,98.48508,-128.5451,6.916776,1572.052,0,0.9999462,4
4.039998,818.877,98.4866,-128.4187,6.865,1572.19,0,0.9999452,4
4.059999,818.9315,98.48815,-128.2922,6.885182,1572.327,0,0.9999442,4
4.079999,818.9866,98.48972,-128.1657,6.901217,1572.465,0,0.9999431,4
4.099999,819.0426,98.4913,-128.0392,6.913866,1572.603,0,0.9999419,4
4.119998,819.0994,98.49292,-127.9129,6.923739,1572.741,0,0.9999403,4
4.139998,819.1567,98.49456,-127.788,6.86905,1572.88,0,0.9999388,4
4.159999,819.215,98.49622,-127.6632,6.886769,1573.017,0,0.9999373,4
4.179999,819.2746,98.49791,-127.5386,6.900665,1573.154,0,0.9999357,4
4.199998,819.3354,98.49962,-127.4144,6.911461,1573.291,0,0.9999343,4
4.219998,819.3974,98.50134,-127.2906,6.91975,1573.429,0,0.9999326,4
4.239999,819.4603,98.50308,-127.1684,6.86377,1573.566,0,0.9999305,4
4.259999,819.5247,98.50488,-127.0466,6.880398,1573.702,0,0.9999282,4
4.279998,819.5906,98.5067,-126.9254,6.893435,1573.838,0,0.999926,4
4.299998,819.6582,98.50856,-126.8048,6.903602,1573.974,0,0.9999239,4
4.319999,819.7273,98.51053,-126.6849,6.911483,1574.109,0,0.9999186,4
4.339999,819.798,98.51273,-126.566,6.917506,1574.245,0,0.9999079,4
4.359998,819.8694,98.51523,-126.4491,6.859883,1574.38,0,0.9998906,4
4.379998,819.941,98.51983,-126.3334,6.849569,1574.514,0,0.9998099,4
4.399999,820.0125,98.52663,-126.2191,6.839421,1574.646,0,0.9996061,4
4.419999,820.0855,98.53472,-126.1057,6.849588,1574.778,0,0.999276,4
4.439998,820.1605,98.54354,-125.9932,6.863661,1575.105,0,0.9988757,4
